date,n_units,n_rows,M0_MAE_day,M0_MSE_day,M0_deviance_day,M1_MAE_day,M1_MSE_day,M1_deviance_day,M2_MAE_day,M2_MSE_day,M2_deviance_day,M1_minus_M0_MAE_day,M1_minus_M0_MSE_day,M1_minus_M0_deviance_day,M2_minus_M0_MAE_day,M2_minus_M0_MSE_day,M2_minus_M0_deviance_day,M2_minus_M1_MAE_day,M2_minus_M1_MSE_day,M2_minus_M1_deviance_day
2025-03-24,11,11,438.2615395621975,313067.46555697743,167.2195903673104,401.4149605041135,253966.64139399,142.192560022479,402.1558120469586,262564.9192327146,144.33903185550497,-36.846579058084046,-59100.82416298744,-25.027030344831388,-36.105727515238925,-50502.54632426286,-22.880558511805418,0.740851542845121,8598.277838724578,2.14647183302597
2025-03-25,11,11,337.16390556995555,177810.14341009816,103.9533887825637,312.24843526177057,143818.82990738028,92.73463284602687,312.02525260646513,151968.10592749453,94.56845652206584,-24.91547030818498,-33991.31350271788,-11.218755936536837,-25.138652963490415,-25842.037482603628,-9.384932260497862,-0.22318265530543613,8149.276020114252,1.8338236760389748
2025-03-26,11,11,221.32479301533377,71164.38650405778,52.08063345000967,204.67473453995137,60288.45208249242,47.96283950466228,201.2324953538593,62686.46103078185,48.84786986446718,-16.650058475382394,-10875.934421565362,-4.117793945347394,-20.092297661474475,-8477.92547327593,-3.232763585542493,-3.442239186092081,2398.0089482894327,0.885030359804901
2025-03-27,11,11,166.4022904401609,37225.83264134228,35.73729134213891,153.3347125871198,31454.490467038224,32.6071813915654,152.01620305250137,32447.720466912782,32.37964110834097,-13.067577853041087,-5771.342174304053,-3.1301099505735124,-14.38608738765953,-4778.112174429494,-3.3576502337979406,-1.3185095346184426,993.2299998745584,-0.2275402832244282
2025-03-28,11,11,87.53081279738302,14717.229830444709,13.542536753208536,92.10747977560497,15692.759161162341,12.326717733680304,94.6846567402983,18897.994339245022,13.974885898613087,4.576666978221951,975.5293307176325,-1.2158190195282312,7.153843942915273,4180.764508800314,0.43234914540455094,2.5771769646933222,3205.235178082681,1.6481681649327822
2025-03-29,11,11,65.27759017338452,7018.678044503097,7.576706317435946,71.21451123658127,7437.804818653377,7.995066066892712,53.056904568109616,4403.955511727592,5.193615709064019,5.936921063196749,419.12677415027974,0.41835974945676657,-12.220685605274909,-2614.722532775505,-2.3830906083719263,-18.157606668471658,-3033.8493069257847,-2.801450357828693
2025-03-30,11,11,133.5769410999816,61609.948953036124,19.057231378318672,134.91650994507492,67545.86666508048,22.726379370237808,136.12792848200885,59355.72162383078,20.967929734561896,1.3395688450933108,5935.917712044356,3.669147991919136,2.5509873820272446,-2254.2273292053433,1.9106983562432234,1.2114185369339339,-8190.1450412497,-1.7584496356759125
2025-03-31,11,11,150.64840773695798,40381.31646606096,27.50027792939512,101.72211750516406,20409.753123282382,16.673027192654406,102.45077937665374,21698.913548411732,17.484382215721567,-48.926290231793914,-19971.56334277858,-10.827250736740716,-48.197628360304236,-18682.40291764923,-10.015895713673554,0.7286618714896775,1289.1604251293502,0.8113550230671613
2025-04-01,11,11,78.6500311980791,12680.633659300318,10.163655571913832,106.81564068395436,32862.97786239695,10.878855922973502,86.4510991009473,26631.662924259625,9.528740562604847,28.16560948587525,20182.34420309663,0.7152003510596696,7.801067902868198,13951.029264959307,-0.634915009308985,-20.364541583007053,-6231.314938137322,-1.3501153603686546
2025-04-02,11,11,41.88267283680656,3613.5310015874156,3.7899434069631766,73.74785924602445,14035.780422749523,4.844876918044787,73.56684176844328,11862.222622734802,5.338907629916311,31.865186409217884,10422.249421162109,1.0549335110816105,31.68416893163672,8248.691621147387,1.5489642229531344,-0.1810174775811646,-2173.5578000147216,0.4940307118715239
