fold,level,model,tol,design_column,coefficient,intercept
0,1,M1,1e-10,dow_1,-0.017221159939005363,-7.491134186877691
0,1,M1,1e-10,dow_2,-0.0547018764715747,-7.491134186877691
0,1,M1,1e-10,dow_3,-0.08528507231156454,-7.491134186877691
0,1,M1,1e-10,dow_4,-0.14172676876296736,-7.491134186877691
0,1,M1,1e-10,dow_5,0.004216998751477134,-7.491134186877691
0,1,M1,1e-10,dow_6,0.024425277200968383,-7.491134186877691
0,1,M1,1e-10,unit_10,0.14406881485454776,-7.491134186877691
0,1,M1,1e-10,unit_11,-0.03931039056703498,-7.491134186877691
0,1,M1,1e-10,unit_12,0.022094103873477343,-7.491134186877691
0,1,M1,1e-10,unit_13,-0.22907866121714293,-7.491134186877691
0,1,M1,1e-10,unit_14,0.1882691222451482,-7.491134186877691
0,1,M1,1e-10,unit_15,-0.082995704506586,-7.491134186877691
0,1,M1,1e-10,unit_16,-0.03847838933708782,-7.491134186877691
0,1,M1,1e-10,unit_2,-0.10979863842840064,-7.491134186877691
0,1,M1,1e-10,unit_3,0.03626083551489065,-7.491134186877691
0,1,M1,1e-10,unit_4,-0.10863400616937155,-7.491134186877691
0,1,M1,1e-10,unit_5,-0.1571818531689765,-7.491134186877691
0,1,M1,1e-10,unit_6,-0.10174983719191015,-7.491134186877691
0,1,M1,1e-10,unit_7,0.20036360601766093,-7.491134186877691
0,1,M1,1e-10,unit_8,0.3531536341062835,-7.491134186877691
0,1,M1,1e-10,unit_9,-0.31136275735005403,-7.491134186877691
0,2,M2,1e-10,sin1,0.07776960594933985,-7.492385690832762
0,2,M2,1e-10,cos1,-0.35718115822190977,-7.492385690832762
0,2,M2,1e-10,sin2,0.11908244966693912,-7.492385690832762
0,2,M2,1e-10,cos2,-0.06393537986039895,-7.492385690832762
0,2,M2,1e-10,sin3,0.00639175255163287,-7.492385690832762
0,2,M2,1e-10,cos3,-0.045975116566802504,-7.492385690832762
0,2,M2,1e-10,tmean_z,-0.14216178104027935,-7.492385690832762
0,2,M2,1e-10,heat_z,-0.0012746391646179826,-7.492385690832762
0,2,M2,1e-10,cold_z,-0.004827946744251518,-7.492385690832762
0,2,M2,1e-10,precip_z,0.013325276650897734,-7.492385690832762
0,2,M2,1e-10,heavy_precip_z,-0.020499839640207226,-7.492385690832762
0,2,M2,1e-10,dewpoint_depression_z,0.07545354375083148,-7.492385690832762
0,2,M2,1e-10,vulnerability_index_z,-0.009928006634827133,-7.492385690832762
0,2,M2,1e-10,mem_heat_h1_z,-0.012922960694197018,-7.492385690832762
0,2,M2,1e-10,mem_heat_h3_z,-8.773304770997175e-05,-7.492385690832762
0,2,M2,1e-10,mem_heat_h7_z,0.00957182231832483,-7.492385690832762
0,2,M2,1e-10,mem_heat_h14_z,0.11546466742125462,-7.492385690832762
0,2,M2,1e-10,mem_heat_h28_z,-0.26459185088265014,-7.492385690832762
0,2,M2,1e-10,mem_cold_h1_z,-0.020848460698684554,-7.492385690832762
0,2,M2,1e-10,mem_cold_h3_z,-0.01054266521897757,-7.492385690832762
0,2,M2,1e-10,mem_cold_h7_z,0.006390203753774339,-7.492385690832762
0,2,M2,1e-10,mem_cold_h14_z,0.019684697779633425,-7.492385690832762
0,2,M2,1e-10,mem_cold_h28_z,-0.07849436897027715,-7.492385690832762
0,2,M2,1e-10,mem_precip_h1_z,-0.014220412569218865,-7.492385690832762
0,2,M2,1e-10,mem_precip_h3_z,-0.02441325292917802,-7.492385690832762
0,2,M2,1e-10,mem_precip_h7_z,0.03604087431482172,-7.492385690832762
0,2,M2,1e-10,mem_precip_h14_z,0.04828162586342032,-7.492385690832762
0,2,M2,1e-10,mem_precip_h28_z,0.028490062780127577,-7.492385690832762
0,2,M2,1e-10,mem_heavy_precip_h1_z,0.0004802434211303997,-7.492385690832762
0,2,M2,1e-10,mem_heavy_precip_h3_z,0.009046897411393915,-7.492385690832762
0,2,M2,1e-10,mem_heavy_precip_h7_z,0.05686324367168058,-7.492385690832762
0,2,M2,1e-10,mem_heavy_precip_h14_z,-0.03500386336066949,-7.492385690832762
0,2,M2,1e-10,mem_heavy_precip_h28_z,-0.2544135401963695,-7.492385690832762
0,2,M2,1e-10,dow_1,-0.018156663135921233,-7.492385690832762
0,2,M2,1e-10,dow_2,-0.05470837880786717,-7.492385690832762
0,2,M2,1e-10,dow_3,-0.08383308157129815,-7.492385690832762
0,2,M2,1e-10,dow_4,-0.14061130386928564,-7.492385690832762
0,2,M2,1e-10,dow_5,0.003980621388069844,-7.492385690832762
0,2,M2,1e-10,dow_6,0.026341372914695415,-7.492385690832762
0,2,M2,1e-10,unit_10,0.02602741812142255,-7.492385690832762
0,2,M2,1e-10,unit_11,-0.041943766262977175,-7.492385690832762
0,2,M2,1e-10,unit_12,0.004226065589673779,-7.492385690832762
0,2,M2,1e-10,unit_13,-0.09956528977423075,-7.492385690832762
0,2,M2,1e-10,unit_14,0.1843008540332641,-7.492385690832762
0,2,M2,1e-10,unit_15,-0.12273387518975258,-7.492385690832762
0,2,M2,1e-10,unit_16,0.04437393307358351,-7.492385690832762
0,2,M2,1e-10,unit_2,-0.15938524881733854,-7.492385690832762
0,2,M2,1e-10,unit_3,0.003744912292601556,-7.492385690832762
0,2,M2,1e-10,unit_4,-0.20171591162668065,-7.492385690832762
0,2,M2,1e-10,unit_5,-0.20564891913865735,-7.492385690832762
0,2,M2,1e-10,unit_6,-0.026787950086282958,-7.492385690832762
0,2,M2,1e-10,unit_7,0.3092958831403494,-7.492385690832762
0,2,M2,1e-10,unit_8,0.39085478622130854,-7.492385690832762
0,2,M2,1e-10,unit_9,-0.3011578638202701,-7.492385690832762
0,3,M3,1e-10,sin1,-0.03457128713753272,-7.515305042442099
0,3,M3,1e-10,cos1,-0.21011602309399177,-7.515305042442099
0,3,M3,1e-10,sin2,0.09214813555896903,-7.515305042442099
0,3,M3,1e-10,cos2,-0.03489760411871541,-7.515305042442099
0,3,M3,1e-10,sin3,-0.013014974675980564,-7.515305042442099
0,3,M3,1e-10,cos3,-0.0183345467442319,-7.515305042442099
0,3,M3,1e-10,tmean_z,-0.0270832437703384,-7.515305042442099
0,3,M3,1e-10,heat_z,-0.010202279986394301,-7.515305042442099
0,3,M3,1e-10,cold_z,0.0032235345978113552,-7.515305042442099
0,3,M3,1e-10,precip_z,-0.0026954120608601215,-7.515305042442099
0,3,M3,1e-10,heavy_precip_z,-0.021531867140598657,-7.515305042442099
0,3,M3,1e-10,dewpoint_depression_z,0.03845471515189167,-7.515305042442099
0,3,M3,1e-10,vulnerability_index_z,-0.013120207400353402,-7.515305042442099
0,3,M3,1e-10,mem_heat_h1_z,-0.008592525581673997,-7.515305042442099
0,3,M3,1e-10,mem_heat_h3_z,0.0005446429581629781,-7.515305042442099
0,3,M3,1e-10,mem_heat_h7_z,-0.0321723695065583,-7.515305042442099
0,3,M3,1e-10,mem_heat_h14_z,0.06298182421226373,-7.515305042442099
0,3,M3,1e-10,mem_heat_h28_z,-0.06990988912072081,-7.515305042442099
0,3,M3,1e-10,mem_cold_h1_z,-0.01976520177653663,-7.515305042442099
0,3,M3,1e-10,mem_cold_h3_z,0.007717213470288554,-7.515305042442099
0,3,M3,1e-10,mem_cold_h7_z,-0.013091535625691944,-7.515305042442099
0,3,M3,1e-10,mem_cold_h14_z,-0.0007972890151221534,-7.515305042442099
0,3,M3,1e-10,mem_cold_h28_z,-0.013246450728866389,-7.515305042442099
0,3,M3,1e-10,mem_precip_h1_z,-0.0068049626734749576,-7.515305042442099
0,3,M3,1e-10,mem_precip_h3_z,-0.0009070221613737112,-7.515305042442099
0,3,M3,1e-10,mem_precip_h7_z,0.03920489320320604,-7.515305042442099
0,3,M3,1e-10,mem_precip_h14_z,0.030855540215222733,-7.515305042442099
0,3,M3,1e-10,mem_precip_h28_z,0.006733180506402044,-7.515305042442099
0,3,M3,1e-10,mem_heavy_precip_h1_z,0.0048767566853279345,-7.515305042442099
0,3,M3,1e-10,mem_heavy_precip_h3_z,0.0013648266105616847,-7.515305042442099
